section,field,content_type,hotels_content,restaurants_content,dental_content,sports_content,description,image_description
hero,main_title,text,"Transform Your Hotel's Digital Presence","Fill Every Table, Every Night","Grow Your Practice with Quality Patients","Fill Your Courts, Grow Your Community","Main headline for hero section","N/A"
hero,subtitle,text,"Drive direct bookings and reduce OTA dependency with proven advertising strategies","Drive foot traffic and online orders with restaurant marketing that actually works","Attract new patients and build lasting relationships with HIPAA-compliant marketing","Drive membership growth and tournament participation with sports marketing expertise","Supporting headline for hero section","N/A"
hero,background_type,media,"video","video","image","video","Type of background media (image or video)","N/A"
hero,background_src,url,"/videos/luxury-hotel-lobby.mp4","/videos/restaurant-busy.mp4","/images/dental-office-modern.jpg","/videos/pickleball-action.mp4","Background media file path","Luxury hotel lobby with guests checking in, warm lighting, modern furnishings / Busy restaurant interior with happy diners, servers in action, warm ambient lighting / Modern clean dental office reception area, comfortable seating, natural lighting / Pickleball court action shot with players, clear court lines, energetic gameplay"
hero,cta_text,text,"Get Free Hotel Marketing Audit","Get Free Restaurant Marketing Analysis","Get Free Practice Growth Analysis","Get Free Facility Growth Plan","Call-to-action button text","N/A"
hero,cta_link,url,"/contact","/contact","/contact","/contact","Call-to-action destination URL","N/A"
hero,stat_1_value,text,"40%","65%","150+","200%","First statistic value","N/A"
hero,stat_1_label,text,"Increase in Direct Bookings","Increase in Reservations","New Patients per Month","Tournament Participation Growth","First statistic label","N/A"
hero,stat_2_value,text,"25%","80%","95%","85%","Second statistic value","N/A"
hero,stat_2_label,text,"Reduction in OTA Commissions","Growth in Online Orders","Patient Retention Rate","Facility Utilization Rate","Second statistic label","N/A"
hero,stat_3_value,text,"60%","3.5x","$2.8M","300+","Third statistic value","N/A"
hero,stat_3_label,text,"Better ROI vs Traditional Marketing","Return on Ad Spend","Additional Annual Revenue","New Members This Year","Third statistic label","N/A"
services,service_1_title,text,"Google Hotel Ads","Local SEO & Google My Business","Patient Acquisition Campaigns","Tournament & Event Promotion","First service title","N/A"
services,service_1_description,text,"Capture guests at the exact moment they're ready to book","Dominate local search when people are looking for a place to eat","Attract patients actively searching for dental services","Fill every tournament bracket and maximize event attendance","First service description","N/A"
services,service_1_feature_1,text,"Direct booking optimization","Google My Business optimization","HIPAA-compliant advertising","Event marketing campaigns","First feature of first service","N/A"
services,service_1_feature_2,text,"Rate parity management","Review management system","Procedure-specific campaigns","Registration optimization","Second feature of first service","N/A"
services,service_1_feature_3,text,"Seasonal demand targeting","Local keyword targeting","Insurance targeting","Sponsor acquisition","Third feature of first service","N/A"
services,service_1_feature_4,text,"Mobile booking optimization","Menu SEO optimization","Emergency dental advertising","Live event promotion","Fourth feature of first service","N/A"
services,service_1_results,text,"Average 35% increase in direct bookings","Average 45% increase in walk-ins","Average 120 new patients per month","Average 200% increase in participation","Results achieved by first service","N/A"
services,service_2_title,text,"Meta Advertising for Hotels","Social Media Advertising","Reputation Management","Membership Growth Campaigns","Second service title","N/A"
services,service_2_description,text,"Build awareness and drive consideration with visual storytelling","Make mouths water with food photography that converts","Build trust with 5-star reviews and patient testimonials","Build a thriving sports community that keeps growing","Second service description","N/A"
services,service_2_feature_1,text,"Property showcase campaigns","Instagram & Facebook food campaigns","Review generation system","New member acquisition","First feature of second service","N/A"
services,service_2_feature_2,text,"Local tourism targeting","Event promotion","Online reputation monitoring","Retention campaigns","Second feature of second service","N/A"
services,service_2_feature_3,text,"Retargeting website visitors","Delivery app optimization","Patient testimonial campaigns","Referral programs","Third feature of second service","N/A"
services,service_2_feature_4,text,"Event and conference promotion","User-generated content campaigns","Crisis management","Seasonal promotions","Fourth feature of second service","N/A"
services,service_2_results,text,"50% lower cost per booking vs OTAs","60% increase in social media orders","4.8+ star average rating","300+ new members annually","Results achieved by second service","N/A"
services,service_3_title,text,"Email Marketing & CRM","Delivery Platform Management","Practice Growth Consulting","Facility Management & Analytics","Third service title","N/A"
services,service_3_description,text,"Turn one-time guests into loyal repeat customers","Optimize your presence on delivery platforms and reduce fees","Strategic guidance for sustainable practice expansion","Data-driven insights to maximize facility performance","Third service description","N/A"
services,service_3_feature_1,text,"Pre-arrival sequences","Platform fee optimization","Growth strategy development","Utilization analytics","First feature of third service","N/A"
services,service_3_feature_2,text,"Post-stay follow-up","Menu optimization for delivery","Staff training and development","Revenue optimization","Second feature of third service","N/A"
services,service_3_feature_3,text,"Loyalty program automation","Commission negotiation","Technology integration","Member engagement tracking","Third feature of third service","N/A"
services,service_3_feature_4,text,"Special offers & packages","Order volume analysis","Financial planning support","Competitive analysis","Fourth feature of third service","N/A"
services,service_3_results,text,"25% increase in repeat bookings","30% reduction in delivery fees","Average 40% practice growth","20% increase in facility revenue","Results achieved by third service","N/A"
team,member_1_name,text,"Laurie Meiring","Laurie Meiring","Laurie Meiring","Laurie Meiring","Team member name","N/A"
team,member_1_title,text,"Founder & Hotel Marketing Strategist","Founder & Restaurant Marketing Expert","Founder & Healthcare Marketing Specialist","Founder & Sports Marketing Strategist","Team member title","N/A"
team,member_1_bio,text,"With 15+ years of experience in hospitality marketing, Laurie specializes in helping hotels reduce OTA dependency and maximize direct bookings through strategic digital advertising campaigns.","Passionate about helping restaurant owners build thriving businesses, Laurie combines culinary industry knowledge with proven digital marketing strategies to fill tables and grow customer loyalty.","Specializing in HIPAA-compliant marketing for healthcare providers, Laurie helps dental practices attract quality patients while maintaining the highest standards of privacy and professionalism.","An avid sports enthusiast and marketing expert, Laurie understands the unique challenges of recreational facilities and specializes in building vibrant sporting communities through targeted marketing campaigns.","Team member bio with industry focus","Professional headshot with consistent lighting, neutral/blurred office background, business casual attire, confident and approachable smile"
